title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
the big four,Unknown,agatha christie,detective and mystery stories,a ruthless international cartel seeks world domination framed in the doorway of poirots bedroom stood an uninvited guest coated from head to foot in dust the mans gaunt face stared for a moment then he swayed and fell who was he was he suffering from shock or just exhaustion above all what was the significance of the figure 4 scribbled over and over again on a sheet of paper poirot finds himself plunged into a world of international intrigue risking his life to uncover the truth about number four,0.32090607512492114,-1.0412623206350755,-0.31508667600713486,0.008754703118187667
the thirteen problems,Unknown,agatha christie,detective and mystery stories english,the tuesday night club is a venue where locals challenge miss marple to solve recent crimes one tuesday evening a group gathers at miss marples house and the conversation turns to unsolved crimes the case of the disappearing bloodstains the thief who committed his crime twice over the message on the deathbed of a poisoned man which read heap of fish the strange case of the invisible will a spiritualist who warned that blue geranium meant death now pit your wits against the powers of deduction of the tuesday night club,0.32090607512492114,-0.13208030616688787,-0.13706347355975534,-0.059126964708665714
they do it with mirrors,Unknown,agatha christie,american fiction,a man is shot at in a juvenile reform home but someone else dies miss marple senses danger when she visits a friend living in a victorian mansion which doubles as a rehabilitiation centre for delinquents her fears are confirmed when a youth fires a revolver at the administrator lewis serrocold neither is injured but a mysterious visitor mr gilbrandsen is less fortunate shot dead simultaneously in another part of the building pure coincidence miss marple thinks not and vows to discover the real reason for mr gilbrandsens visit,0.32090607512492114,-0.5563652462520421,-0.2654057823008894,-0.1496722918958534
a murder is announced,Unknown,agatha christie,detective and mystery stories english,the villagers of chipping cleghorn are amazed by an advertisement in the local paper which reads a murder is announced and will take place on friday october 29th at little paddocks at 630pm unable to resist a crowd begins to gather at the house at the appointed time but when a man is killed in what looks like an attempted robbery miss marple becomes involved,0.32090607512492114,0.14067429817356772,0.1403215163001151,-0.14774114407254516
the mirror crackd from side to side,Unknown,agatha christie,marple jane fictitious character,one minute silly heather badcock had been gabbling on at her movie idol the glamorous marina gregg the next heather suffered a massive seizure but for whom was the deadly poison really intended marina s frozen expression suggested she had witnessed something horrific but while others searched for material evidence jane marple conducted a very different investigation into human nature,0.32090607512492114,-0.07146817186900871,0.011979207558981025,0.016727064320826164
mrs mcgintys dead,Unknown,agatha christie,belgians,an old widow is brutally killed in the parlour of her cottage mrs mcginty died from a brutal blow to the back of her head suspicion fell immediately on her shifty lodger james bentley whose clothes revealed traces of the victims blood and hair yet something was amiss bentley just didnt look like a murderer poirot believed he could save the man from the gallows what he didnt realise was that his own life was now in great danger,0.32090607512492114,-0.3139167090605254,-0.08324250537798943,-0.14887068336542356
taken at the flood,Unknown,agatha christie,fiction,a few weeks after marrying an attractive young widow gordon cloade is tragically killed by a bomb blast in the london blitz overnight the former mrs underhay finds herself in sole possession of the cloade family fortune shortly afterwards hercule poirot receives a visit from the dead man s sisterinlaw who claims she has been warned by spirits that mrs underhay s first husband is still alive poirot has his suspicions when he is asked to find a missing person guided only by the spirit world yet what mystifies poirot most is the woman s true motive for approaching him,0.32090607512492114,-0.6775895148478005,0.01611928203450148,-0.0881889176118854
the hollow,Unknown,agatha christie,detective and mystery stories,lucy angkatell invited hercule poirot to lunch to tease the great detective her guests stage a mock murder beside the swimming pool unfortunately the victim plays the scene for real as his blood drips into the water john christow gasps one final word henrietta in the confusion a gun sinks to the bottom of the pool poirot s enquiries reveal a complex web of romantic attachments it seems everyone in the drama is a suspect and each a victim of love,0.32090607512492114,-0.43514097765628373,0.14860166525115603,-0.057800666958318175
third girl,Unknown,agatha christie,belgians,a perplexed girl thinks she might have killed someone three single girls shared the same london flat the first worked as a secretary the second was an artist the third who came to poirot for help disappeared convinced she was a murderer now there were rumours of revolvers flickknives and blood stains but without hard evidence it would take all poirots tenacity to establish whether the third girl was guilty innocent or insane,0.32090607512492114,-0.950344119188256,0.06994025021626739,-0.05282340671937659
the secret of chimneys,Unknown,agatha christie,battle superintendent fictitious character,a young drifter finds more than he bargained for when he agrees to deliver a parcel to an english country house,0.22549777758428435,-0.22299850761370732,0.2148428568594833,-0.07173408068724396
